epoch,step,val_loss,loss_epoch,loss_step
33,815,772.4638061523438,,
33,815,,708.636474609375,
34,839,758.2974243164062,,
34,839,,712.5045776367188,
35,849,,,683.5269165039062
35,863,763.6553344726562,,
35,863,,698.40283203125,
36,887,767.4863891601562,,
36,887,,697.0859375,
37,899,,,686.064697265625
37,911,753.3977661132812,,
37,911,,693.2151489257812,
38,935,756.5479125976562,,
38,935,,699.3515014648438,
39,949,,,704.3274536132812
39,959,762.8181762695312,,
39,959,,701.1140747070312,
40,983,754.6952514648438,,
40,983,,695.97216796875,
41,999,,,692.6443481445312
41,1007,768.2155151367188,,
41,1007,,690.3787231445312,
42,1031,753.8872680664062,,
42,1031,,692.977783203125,
43,1049,,,677.4981079101562
43,1055,749.8086547851562,,
43,1055,,691.7185668945312,
44,1079,741.3529052734375,,
44,1079,,682.3178100585938,
45,1099,,,698.290771484375
45,1103,761.1920776367188,,
45,1103,,681.1370239257812,
46,1127,757.5426635742188,,
46,1127,,690.8286743164062,
47,1149,,,672.8057250976562
47,1151,752.8944702148438,,
47,1151,,684.6200561523438,
48,1175,754.4925537109375,,
48,1175,,678.7658081054688,
49,1199,,,321.3891296386719
49,1199,754.7516479492188,,
49,1199,,681.2535400390625,
50,1223,757.7379150390625,,
50,1223,,677.7888793945312,
51,1247,738.0419921875,,
51,1247,,675.6700439453125,
52,1249,,,655.918701171875
52,1271,763.81982421875,,
52,1271,,684.6387329101562,
53,1295,749.8968505859375,,
53,1295,,675.6958618164062,
54,1299,,,683.0408935546875
54,1319,749.9141845703125,,
54,1319,,657.50830078125,
55,1343,740.0330810546875,,
55,1343,,677.719482421875,
56,1349,,,670.7224731445312
56,1367,737.1304931640625,,
56,1367,,684.30078125,
57,1391,739.739501953125,,
57,1391,,668.15234375,
58,1399,,,681.673583984375
58,1415,751.9102783203125,,
58,1415,,661.4644775390625,
59,1439,739.063720703125,,
59,1439,,665.1844482421875,
60,1449,,,667.7025756835938
60,1463,756.346923828125,,
60,1463,,668.0810546875,
61,1487,741.9772338867188,,
61,1487,,659.5099487304688,
62,1499,,,647.7161254882812
62,1511,746.2135009765625,,
62,1511,,661.6761474609375,
63,1535,751.4541015625,,
63,1535,,662.1841430664062,
64,1549,,,645.687255859375
64,1559,746.1826782226562,,
64,1559,,674.63623046875,
65,1583,741.7676391601562,,
65,1583,,661.0673217773438,
66,1599,,,649.6741333007812
66,1607,733.3494262695312,,
66,1607,,652.9017944335938,
67,1631,753.3298950195312,,
67,1631,,649.5360717773438,
68,1649,,,639.5957641601562
68,1655,739.134521484375,,
68,1655,,656.3467407226562,
69,1679,736.478271484375,,
69,1679,,648.1181030273438,
70,1699,,,674.4213256835938
70,1703,755.687255859375,,
70,1703,,646.9049072265625,
71,1727,739.3688354492188,,
71,1727,,653.4889526367188,
72,1749,,,602.9118041992188
72,1751,724.7308349609375,,
72,1751,,638.9342651367188,
73,1775,745.0491943359375,,
73,1775,,646.7405395507812,
74,1799,,,273.4062805175781
74,1799,728.2506103515625,,
74,1799,,639.70849609375,
75,1823,731.236083984375,,
75,1823,,638.1600341796875,
76,1847,731.7684936523438,,
76,1847,,637.3822631835938,
77,1849,,,658.7582397460938
77,1871,726.961669921875,,
77,1871,,638.9065551757812,
78,1895,737.8458862304688,,
78,1895,,646.2526245117188,
79,1899,,,667.4362182617188
79,1919,732.2692260742188,,
79,1919,,650.1300659179688,
80,1943,735.791015625,,
80,1943,,635.6414794921875,
81,1949,,,654.6652221679688
81,1967,738.0379028320312,,
81,1967,,643.8126831054688,
82,1991,729.3482666015625,,
82,1991,,643.2420654296875,
83,1999,,,633.6023559570312
83,2015,736.0018310546875,,
83,2015,,626.0709228515625,
84,2039,740.3246459960938,,
84,2039,,631.4728393554688,
85,2049,,,657.61279296875
85,2063,744.6735229492188,,
85,2063,,636.870849609375,
86,2087,734.1414184570312,,
86,2087,,643.951416015625,
87,2099,,,698.5526123046875
87,2111,741.7753295898438,,
87,2111,,637.8786010742188,
88,2135,726.5111083984375,,
88,2135,,649.4974975585938,
89,2149,,,663.8423461914062
89,2159,724.49755859375,,
89,2159,,630.6879272460938,
90,2183,728.9790649414062,,
90,2183,,638.01171875,
91,2199,,,612.4229736328125
91,2207,751.8667602539062,,
91,2207,,643.8038940429688,
92,2231,751.6170043945312,,
92,2231,,647.1161499023438,
93,2249,,,619.9373168945312
93,2255,732.61865234375,,
93,2255,,645.4204711914062,
94,2279,735.4560546875,,
94,2279,,636.0248413085938,
95,2299,,,657.31201171875
95,2303,741.12939453125,,
95,2303,,630.79638671875,
96,2327,748.2101440429688,,
96,2327,,626.1870727539062,
97,2349,,,647.4168090820312
97,2351,738.111083984375,,
97,2351,,622.6859130859375,
98,2375,739.7373046875,,
98,2375,,627.0691528320312,
99,2399,,,290.30816650390625
99,2399,739.61376953125,,
99,2399,,626.358642578125,
100,2423,739.6731567382812,,
100,2423,,628.3843383789062,
101,2447,728.2664184570312,,
101,2447,,622.3132934570312,
102,2449,,,585.62841796875
102,2471,739.2030029296875,,
102,2471,,620.767333984375,
103,2495,728.8035888671875,,
103,2495,,621.7161254882812,
104,2499,,,667.76318359375
104,2519,718.6998901367188,,
104,2519,,627.2700805664062,
105,2543,732.7276000976562,,
105,2543,,626.5089721679688,
106,2549,,,621.4889526367188
106,2567,723.257080078125,,
106,2567,,617.290771484375,
107,2591,741.6787719726562,,
107,2591,,609.2359619140625,
108,2599,,,631.3016357421875
108,2615,746.1766967773438,,
108,2615,,630.379638671875,
109,2639,750.402099609375,,
109,2639,,629.1481323242188,
110,2649,,,661.6739501953125
110,2663,743.3880004882812,,
110,2663,,631.7647705078125,
111,2687,739.9319458007812,,
111,2687,,629.4420776367188,
112,2699,,,589.826904296875
112,2711,738.86376953125,,
112,2711,,613.984375,
113,2735,748.663818359375,,
113,2735,,615.28369140625,
114,2749,,,611.7019653320312
114,2759,732.3718872070312,,
114,2759,,613.2633056640625,
115,2783,734.5031127929688,,
115,2783,,620.1450805664062,
116,2799,,,635.4688110351562
116,2807,722.0613403320312,,
116,2807,,616.0166015625,
117,2831,721.1588134765625,,
117,2831,,614.2044677734375,
118,2849,,,579.999267578125
118,2855,740.4845581054688,,
118,2855,,608.0254516601562,
119,2879,747.9375,,
119,2879,,622.227294921875,
120,2899,,,642.7777709960938
120,2903,724.0474243164062,,
120,2903,,614.306396484375,
121,2927,731.054443359375,,
121,2927,,607.6895141601562,
122,2949,,,632.9732666015625
122,2951,736.8681030273438,,
122,2951,,615.6979370117188,
123,2975,724.6556396484375,,
123,2975,,622.6829223632812,
124,2999,,,264.680419921875
124,2999,728.6245727539062,,
124,2999,,614.4539794921875,
125,3023,730.11083984375,,
125,3023,,610.03125,
126,3047,725.8176879882812,,
126,3047,,611.8977661132812,
127,3049,,,632.0485229492188
127,3071,719.8238525390625,,
127,3071,,607.2149658203125,
128,3095,732.7806396484375,,
128,3095,,592.31298828125,
129,3099,,,625.5757446289062
129,3119,731.70751953125,,
129,3119,,624.5543823242188,
130,3143,725.0634155273438,,
130,3143,,602.4672241210938,
131,3149,,,608.431396484375
131,3167,717.4180908203125,,
131,3167,,595.959228515625,
132,3191,720.0098876953125,,
132,3191,,597.0143432617188,
133,3199,,,572.88232421875
133,3215,716.1080932617188,,
133,3215,,580.1593627929688,
134,3239,726.25634765625,,
134,3239,,575.5714111328125,
135,3249,,,566.7089233398438
135,3263,728.18701171875,,
135,3263,,575.7160034179688,
136,3287,710.2926635742188,,
136,3287,,572.1875,
137,3299,,,527.7617797851562
137,3311,711.3649291992188,,
137,3311,,578.7672729492188,
138,3335,724.5081787109375,,
138,3335,,575.0933837890625,
139,3349,,,655.2572631835938
139,3359,717.6548461914062,,
139,3359,,575.0863037109375,
140,3383,725.8836059570312,,
140,3383,,570.9124755859375,
141,3399,,,626.3040161132812
141,3407,707.4060668945312,,
141,3407,,571.0266723632812,
142,3431,720.97509765625,,
142,3431,,572.9237670898438,
143,3449,,,571.159912109375
143,3455,723.1533203125,,
143,3455,,567.0346069335938,
144,3479,706.8916015625,,
144,3479,,560.3775634765625,
145,3499,,,560.7526245117188
145,3503,722.1607666015625,,
145,3503,,566.3206787109375,
146,3527,712.4268188476562,,
146,3527,,572.2620239257812,
147,3549,,,584.2351684570312
147,3551,721.7948608398438,,
147,3551,,567.6333618164062,
148,3575,703.6668090820312,,
148,3575,,561.1079711914062,
149,3599,,,236.41720581054688
149,3599,715.8428955078125,,
149,3599,,558.8490600585938,
150,3623,724.0152587890625,,
150,3623,,565.2791748046875,
151,3647,717.066162109375,,
151,3647,,564.7706909179688,
152,3649,,,580.5963134765625
152,3671,718.879150390625,,
152,3671,,566.8609008789062,
153,3695,725.93310546875,,
153,3695,,564.188232421875,
154,3699,,,541.6734008789062
154,3719,718.214111328125,,
154,3719,,556.970458984375,
155,3743,713.1143188476562,,
155,3743,,570.112060546875,
156,3749,,,589.166015625
156,3767,728.1484985351562,,
156,3767,,566.1484375,
157,3791,720.485107421875,,
157,3791,,561.7059326171875,
158,3799,,,528.0538940429688
158,3815,723.8004150390625,,
158,3815,,552.0631713867188,
159,3839,719.600830078125,,
159,3839,,558.6542358398438,
160,3849,,,595.4439697265625
160,3863,712.320068359375,,
160,3863,,557.82861328125,
161,3887,721.0006713867188,,
161,3887,,563.0219116210938,
162,3899,,,563.4329223632812
162,3911,716.8917236328125,,
162,3911,,557.837158203125,
163,3935,729.1170654296875,,
163,3935,,564.4714965820312,
164,3949,,,527.702880859375
164,3959,714.1738891601562,,
164,3959,,556.2205810546875,
165,3983,712.082763671875,,
165,3983,,561.8878173828125,
166,3999,,,587.0244140625
166,4007,710.440673828125,,
166,4007,,562.6710815429688,
167,4031,727.8023071289062,,
167,4031,,564.84130859375,
168,4049,,,567.8299560546875
168,4055,724.9983520507812,,
168,4055,,562.4324951171875,
169,4079,724.9241943359375,,
169,4079,,565.7566528320312,
170,4099,,,558.744384765625
170,4103,713.57177734375,,
170,4103,,561.6148071289062,
171,4127,724.3994750976562,,
171,4127,,561.7684326171875,
172,4149,,,537.0057373046875
172,4151,720.4764404296875,,
172,4151,,560.6099853515625,
173,4175,723.8793334960938,,
173,4175,,561.0783081054688,
174,4199,,,243.8161163330078
174,4199,704.1156005859375,,
174,4199,,556.564697265625,
175,4223,718.5040893554688,,
175,4223,,554.0194702148438,
176,4247,726.7965087890625,,
176,4247,,561.5121459960938,
177,4249,,,560.1467895507812
177,4271,715.0711669921875,,
177,4271,,554.5579833984375,
178,4295,720.3040161132812,,
178,4295,,553.5313720703125,
179,4299,,,554.166015625
179,4319,715.2584228515625,,
179,4319,,554.8204345703125,
180,4343,722.6694946289062,,
180,4343,,560.0218505859375,
181,4349,,,566.7264404296875
181,4367,723.9041748046875,,
181,4367,,560.8466186523438,
182,4391,720.4133911132812,,
182,4391,,556.92333984375,
183,4399,,,520.6035766601562
183,4415,716.2177734375,,
183,4415,,557.74755859375,
184,4439,719.8451538085938,,
184,4439,,563.6063842773438,
185,4449,,,555.3597412109375
185,4463,726.4684448242188,,
185,4463,,555.1149291992188,
186,4487,725.2657470703125,,
186,4487,,559.368896484375,
187,4499,,,559.7393798828125
187,4511,721.667724609375,,
187,4511,,556.0881958007812,
188,4535,716.0565185546875,,
188,4535,,555.1316528320312,
189,4549,,,562.8085327148438
189,4559,719.9006958007812,,
189,4559,,555.1592407226562,
190,4583,720.9094848632812,,
190,4583,,561.8265380859375,
191,4599,,,573.1727294921875
191,4607,716.13818359375,,
191,4607,,559.9107666015625,
192,4631,725.4619750976562,,
192,4631,,561.9169311523438,
193,4649,,,528.2279052734375
193,4655,721.7645874023438,,
193,4655,,559.3619384765625,
194,4679,711.6543579101562,,
194,4679,,553.342041015625,
195,4699,,,578.8317260742188
195,4703,717.0386962890625,,
195,4703,,561.7032470703125,
196,4727,719.2429809570312,,
196,4727,,551.7503662109375,
197,4749,,,580.70849609375
197,4751,719.7985229492188,,
197,4751,,555.85888671875,
198,4775,720.4046020507812,,
198,4775,,551.1383056640625,
199,4799,,,250.8855743408203
199,4799,718.6637573242188,,
199,4799,,555.0673217773438,
200,4823,724.4119262695312,,
200,4823,,556.1396484375,
201,4847,714.489990234375,,
201,4847,,552.3236083984375,
202,4849,,,588.574951171875
202,4871,717.3121948242188,,
202,4871,,562.1345825195312,
203,4895,725.9338989257812,,
203,4895,,551.97607421875,
204,4899,,,579.2294311523438
204,4919,717.4244384765625,,
204,4919,,547.8895874023438,
205,4943,722.6731567382812,,
205,4943,,549.1800537109375,
206,4949,,,584.9368286132812
206,4967,731.7759399414062,,
206,4967,,557.9884033203125,
207,4991,715.3095092773438,,
207,4991,,550.2844848632812,
208,4999,,,574.0255737304688
208,5015,701.5191650390625,,
208,5015,,556.99560546875,
209,5039,712.900390625,,
209,5039,,561.83251953125,
210,5049,,,536.6343383789062
210,5063,724.4207763671875,,
210,5063,,557.0573120117188,
211,5087,722.2059936523438,,
211,5087,,554.9794311523438,
212,5099,,,528.0234375
212,5111,708.1966552734375,,
212,5111,,564.9985961914062,
213,5135,722.7679443359375,,
213,5135,,559.9677124023438,
214,5149,,,593.2163696289062
214,5159,713.2628173828125,,
214,5159,,564.4046020507812,
215,5183,724.7643432617188,,
215,5183,,558.2979125976562,
216,5199,,,547.0638427734375
216,5207,727.3609008789062,,
216,5207,,557.0761108398438,
217,5231,714.6278076171875,,
217,5231,,556.7081298828125,
218,5249,,,556.4129028320312
218,5255,729.7276611328125,,
218,5255,,557.883056640625,
219,5279,718.149658203125,,
219,5279,,554.5245971679688,
220,5299,,,548.0701293945312
220,5303,714.3311767578125,,
220,5303,,557.6148071289062,
221,5327,715.5639038085938,,
221,5327,,550.3677368164062,
222,5349,,,522.9340209960938
222,5351,715.400390625,,
222,5351,,553.49169921875,
223,5375,721.5789184570312,,
223,5375,,560.9851684570312,
224,5399,,,266.61279296875
224,5399,732.5767211914062,,
224,5399,,550.7631225585938,
225,5423,721.552001953125,,
225,5423,,551.259033203125,
226,5447,710.2810668945312,,
226,5447,,554.1692504882812,
227,5449,,,565.1847534179688
227,5471,723.3782348632812,,
227,5471,,554.9611206054688,
228,5495,715.8029174804688,,
228,5495,,560.106689453125,
229,5499,,,548.4542846679688
229,5519,717.2146606445312,,
229,5519,,549.6820678710938,
230,5543,722.7825927734375,,
230,5543,,555.2954711914062,
231,5549,,,546.0523071289062
231,5567,721.6277465820312,,
231,5567,,550.31787109375,
232,5591,712.6161499023438,,
232,5591,,553.7072143554688,
233,5599,,,598.2576904296875
233,5615,722.0233154296875,,
233,5615,,558.7009887695312,
234,5639,721.24609375,,
234,5639,,560.341796875,
235,5649,,,580.9375
235,5663,726.6491088867188,,
235,5663,,554.3778076171875,
236,5687,716.4501953125,,
236,5687,,555.8818359375,
237,5699,,,573.3701782226562
237,5711,722.100341796875,,
237,5711,,556.735595703125,
238,5735,715.1175537109375,,
238,5735,,561.9758911132812,
239,5749,,,564.8474731445312
239,5759,717.2997436523438,,
239,5759,,549.6276245117188,
240,5783,725.8277587890625,,
240,5783,,557.2588500976562,
241,5799,,,549.2518310546875
241,5807,721.6593627929688,,
241,5807,,557.9851684570312,
242,5831,721.4545288085938,,
242,5831,,569.2979736328125,
243,5849,,,614.1591796875
243,5855,727.8682250976562,,
243,5855,,562.6218872070312,
244,5879,707.349853515625,,
244,5879,,554.5785522460938,
245,5899,,,546.0577392578125
245,5903,719.1162719726562,,
245,5903,,558.0324096679688,
246,5927,713.442138671875,,
246,5927,,557.337646484375,
247,5949,,,545.7504272460938
247,5951,717.8524780273438,,
247,5951,,558.4134521484375,
248,5975,721.2525634765625,,
248,5975,,559.2579956054688,
249,5999,,,227.12835693359375
249,5999,723.5015258789062,,
249,5999,,556.589599609375,
250,6023,714.3570556640625,,
250,6023,,555.7573852539062,
251,6047,718.18994140625,,
251,6047,,555.6600341796875,
252,6049,,,561.9013671875
252,6071,719.6365966796875,,
252,6071,,552.2763671875,
253,6095,714.9168090820312,,
253,6095,,560.06494140625,
254,6099,,,571.7576904296875
254,6119,717.5253295898438,,
254,6119,,553.5902099609375,
255,6143,722.2883911132812,,
255,6143,,556.530029296875,
256,6149,,,560.8621215820312
256,6167,718.4273071289062,,
256,6167,,557.17724609375,
257,6191,724.198486328125,,
257,6191,,558.59521484375,
258,6199,,,572.2529907226562
258,6215,709.0857543945312,,
258,6215,,555.358154296875,
259,6239,724.1265869140625,,
259,6239,,565.9537353515625,
260,6249,,,570.1712646484375
260,6263,722.396728515625,,
260,6263,,558.1829833984375,
261,6287,718.9947509765625,,
261,6287,,562.4349365234375,
262,6299,,,546.2015991210938
262,6311,715.762939453125,,
262,6311,,559.392333984375,
263,6335,707.2542724609375,,
263,6335,,555.1683349609375,
264,6349,,,578.3892822265625
264,6359,725.066650390625,,
264,6359,,564.1118774414062,
265,6383,718.8036499023438,,
265,6383,,558.7882690429688,
266,6399,,,568.4218139648438
266,6407,723.2549438476562,,
266,6407,,561.177734375,
267,6431,709.8146362304688,,
267,6431,,552.1087036132812,
268,6449,,,540.92626953125
268,6455,728.0134887695312,,
268,6455,,556.5934448242188,
269,6479,715.6163330078125,,
269,6479,,551.5189208984375,
270,6499,,,569.3739624023438
270,6503,715.0718994140625,,
270,6503,,561.2635498046875,
271,6527,719.4039306640625,,
271,6527,,552.4962158203125,
272,6549,,,541.5789184570312
272,6551,716.066162109375,,
272,6551,,552.2054443359375,
273,6575,714.260986328125,,
273,6575,,555.54736328125,
274,6599,,,243.9607391357422
274,6599,724.716064453125,,
274,6599,,559.9531860351562,
275,6623,713.6746826171875,,
275,6623,,562.5643920898438,
276,6647,722.8474731445312,,
276,6647,,563.5844116210938,
277,6649,,,595.7332153320312
277,6671,716.96923828125,,
277,6671,,558.5436401367188,
278,6695,722.561279296875,,
278,6695,,555.91259765625,
279,6699,,,543.2532348632812
279,6719,724.1317749023438,,
279,6719,,556.9359741210938,
280,6743,716.41259765625,,
280,6743,,558.8184204101562,
281,6749,,,555.1752319335938
281,6767,720.1925659179688,,
281,6767,,558.5782470703125,
282,6791,717.4650268554688,,
282,6791,,551.1470947265625,
283,6799,,,523.9747314453125
283,6815,728.4219360351562,,
283,6815,,552.4456787109375,
284,6839,724.7647705078125,,
284,6839,,555.4073486328125,
285,6849,,,573.0072021484375
285,6863,718.00634765625,,
285,6863,,565.3007202148438,
