val_loss,epoch,step,loss_epoch,loss_step
935.62158203125,0,23,,
,0,23,1027.0135498046875,
920.0743408203125,1,47,,
,1,47,949.52783203125,
,2,49,,945.118408203125
898.9164428710938,2,71,,
,2,71,932.9946899414062,
888.853271484375,3,95,,
,3,95,894.7818603515625,
,4,99,,913.5863037109375
881.7369384765625,4,119,,
,4,119,877.9437255859375,
850.7055053710938,5,143,,
,5,143,860.4758911132812,
,6,149,,903.8433837890625
844.7794799804688,6,167,,
,6,167,856.28515625,
839.896240234375,7,191,,
,7,191,832.1785278320312,
,8,199,,792.1922607421875
834.5736083984375,8,215,,
,8,215,812.2992553710938,
840.8211669921875,9,239,,
,9,239,812.2756958007812,
,10,249,,859.0375366210938
841.6122436523438,10,263,,
,10,263,797.7885131835938,
849.4066772460938,11,287,,
,11,287,792.688720703125,
,12,299,,785.13623046875
841.9140625,12,311,,
,12,311,781.3541870117188,
849.9329833984375,13,335,,
,13,335,780.2286376953125,
,14,349,,775.8862915039062
842.6209716796875,14,359,,
,14,359,770.660888671875,
842.6795654296875,15,383,,
,15,383,766.50390625,
,16,399,,713.847900390625
838.5330810546875,16,407,,
,16,407,763.5458984375,
830.9794311523438,17,431,,
,17,431,760.6483154296875,
,18,449,,757.7068481445312
824.5747680664062,18,455,,
,18,455,744.4129028320312,
825.9450073242188,19,479,,
,19,479,732.3544921875,
,20,499,,722.4553833007812
845.6232299804688,20,503,,
,20,503,733.4115600585938,
833.81494140625,21,527,,
,21,527,729.3449096679688,
,22,549,,786.352783203125
835.6464233398438,22,551,,
,22,551,734.74609375,
838.6949462890625,23,575,,
,23,575,725.8184814453125,
,24,599,,305.99163818359375
841.5166015625,24,599,,
,24,599,723.2818603515625,
845.8574829101562,25,623,,
,25,623,715.9431762695312,
848.978515625,26,647,,
,26,647,716.9361572265625,
,27,649,,729.9818115234375
840.1896362304688,27,671,,
,27,671,719.2186889648438,
842.6069946289062,28,695,,
,28,695,709.6434936523438,
,29,699,,724.770263671875
841.4884033203125,29,719,,
,29,719,711.1752319335938,
835.0419311523438,30,743,,
,30,743,703.773193359375,
,31,749,,703.63037109375
830.2251586914062,31,767,,
,31,767,716.1695556640625,
830.4705200195312,32,791,,
,32,791,708.5721435546875,
,33,799,,675.4877319335938
857.801025390625,33,815,,
,33,815,696.3043823242188,
839.3673095703125,34,839,,
,34,839,696.0538940429688,
,35,849,,709.8286743164062
835.6569213867188,35,863,,
,35,863,687.6943969726562,
835.7416381835938,36,887,,
,36,887,677.53466796875,
,37,899,,673.4097900390625
854.0634765625,37,911,,
,37,911,671.050048828125,
829.7137451171875,38,935,,
,38,935,667.4945068359375,
,39,949,,658.0706787109375
839.2609252929688,39,959,,
,39,959,657.52490234375,
832.8430786132812,40,983,,
,40,983,668.8748779296875,
,41,999,,579.6771240234375
848.8268432617188,41,1007,,
,41,1007,661.0036010742188,
841.0031127929688,42,1031,,
,42,1031,667.7738037109375,
,43,1049,,673.8650512695312
847.343994140625,43,1055,,
,43,1055,677.4201049804688,
857.1290893554688,44,1079,,
,44,1079,672.500732421875,
,45,1099,,641.6151733398438
826.1707763671875,45,1103,,
,45,1103,670.0615234375,
820.8903198242188,46,1127,,
,46,1127,634.0234985351562,
,47,1149,,667.7823486328125
825.3850708007812,47,1151,,
,47,1151,635.1941528320312,
830.945556640625,48,1175,,
,48,1175,629.0344848632812,
,49,1199,,261.397216796875
820.4366455078125,49,1199,,
,49,1199,628.5448608398438,
828.8557739257812,50,1223,,
,50,1223,620.3831176757812,
832.3654174804688,51,1247,,
,51,1247,623.4473876953125,
,52,1249,,630.5245361328125
833.6445922851562,52,1271,,
,52,1271,616.98876953125,
836.03564453125,53,1295,,
,53,1295,624.3363037109375,
,54,1299,,618.6251831054688
829.269775390625,54,1319,,
,54,1319,621.311767578125,
833.5752563476562,55,1343,,
,55,1343,620.8616333007812,
,56,1349,,617.9650268554688
834.1934204101562,56,1367,,
,56,1367,619.13427734375,
837.5433349609375,57,1391,,
,57,1391,615.4375610351562,
,58,1399,,603.6175537109375
832.24951171875,58,1415,,
,58,1415,611.4690551757812,
837.9149780273438,59,1439,,
,59,1439,616.1543579101562,
,60,1449,,672.281982421875
833.1965942382812,60,1463,,
,60,1463,613.7310180664062,
840.2164306640625,61,1487,,
,61,1487,613.3688354492188,
,62,1499,,598.2487182617188
836.1160888671875,62,1511,,
,62,1511,608.5708618164062,
837.1883544921875,63,1535,,
,63,1535,609.7073974609375,
,64,1549,,609.375244140625
844.99267578125,64,1559,,
,64,1559,609.4590454101562,
837.844482421875,65,1583,,
,65,1583,609.068115234375,
,66,1599,,538.3816528320312
838.5830688476562,66,1607,,
,66,1607,606.5335693359375,
843.8972778320312,67,1631,,
,67,1631,603.124755859375,
,68,1649,,627.8531494140625
835.998779296875,68,1655,,
,68,1655,607.6978149414062,
842.250244140625,69,1679,,
,69,1679,605.8988037109375,
,70,1699,,587.9029541015625
840.8982543945312,70,1703,,
,70,1703,609.2135620117188,
844.0926513671875,71,1727,,
,71,1727,602.8788452148438,
,72,1749,,638.3726196289062
842.0985107421875,72,1751,,
,72,1751,605.1556396484375,
838.6245727539062,73,1775,,
,73,1775,600.8740844726562,
,74,1799,,257.2396240234375
841.4862670898438,74,1799,,
