loss_step,step,epoch,val_loss,loss_epoch
0.20110215914883156,49,0,,
0.1877463341848953,99,0,,
0.17562014511769222,149,0,,
0.18682643222216988,199,0,,
0.17195032878184216,249,0,,
0.169502475995873,299,0,,
,322,0,0.16878495464742227,
,322,0,,0.1900461335433312
0.16606615953907697,349,1,,
0.17693195889931226,399,1,,
0.16396227395958993,449,1,,
0.156490326948219,499,1,,
0.16655006971644878,549,1,,
0.16139010422664846,599,1,,
,645,1,0.15745515697425086,
,645,1,,0.16552608906854674
0.16339555270966835,649,2,,
0.1593964161249346,699,2,,
0.14494236293042048,749,2,,
0.16012373078382955,799,2,,
0.15183186307940053,849,2,,
0.15453620410392924,899,2,,
0.15708908327491775,949,2,,
,968,2,0.15012264389710306,
,968,2,,0.15584122806997325
0.15270782547859577,999,3,,
0.1389956161053476,1049,3,,
0.15500221085967622,1099,3,,
0.14453631508861992,1149,3,,
0.14825407975181468,1199,3,,
0.14460963386947392,1249,3,,
,1291,3,0.14612782157214532,
,1291,3,,0.1499211902657569
0.15297479048809412,1299,4,,
0.14739587221203956,1349,4,,
0.14539986598250543,1399,4,,
0.14084082103192624,1449,4,,
0.14403465024537354,1499,4,,
0.15336346678451365,1549,4,,
0.15322880715208162,1599,4,,
,1614,4,0.1426548331538802,
,1614,4,,0.14608915246974027
0.14738256791384033,1649,5,,
0.12866291219039913,1699,5,,
0.13586041122667641,1749,5,,
0.1384601443614836,1799,5,,
0.1348565021984057,1849,5,,
0.14750712310527722,1899,5,,
,1937,5,0.14058520015724046,
,1937,5,,0.14346956980803163
0.1261454593624494,1949,6,,
0.14694249881185012,1999,6,,
0.13218430998133987,2049,6,,
0.1360080393662031,2099,6,,
0.14536528040624888,2149,6,,
0.14803473277370255,2199,6,,
0.14007339196368443,2249,6,,
,2260,6,0.13922694395936533,
,2260,6,,0.14115942536428713
0.13671756975791835,2299,7,,
0.13962469952842818,2349,7,,
0.13911967396205366,2399,7,,
0.13882946917057343,2449,7,,
0.13709807873829208,2499,7,,
0.1414087930734706,2549,7,,
,2583,7,0.13750017489526947,
,2583,7,,0.13934643756139123
0.13995490483005646,2599,8,,
0.1475627468834896,2649,8,,
0.1380547083182822,2699,8,,
0.13398406079733544,2749,8,,
0.1407919285573437,2799,8,,
0.13998320498710726,2849,8,,
0.14133210093031323,2899,8,,
,2906,8,0.13668604039154827,
,2906,8,,0.1378749951782521
0.1223271772397412,2949,9,,
0.13195438385268626,2999,9,,
0.1244798647674159,3049,9,,
