epoch,step,loss_step,val_loss,loss_epoch
0,49,0.2026754548902924,,
0,99,0.1908726618918182,,
0,149,0.18013200256665288,,
0,199,0.19164711697003944,,
0,249,0.1787098330987141,,
0,299,0.176962293935541,,
0,322,,0.1766671298155617,
0,322,,,0.19718044077347946
1,349,0.1745073518351824,,
1,399,0.1843083925993672,,
1,449,0.17315138781800163,,
1,499,0.16342615599275706,,
1,549,0.17309410083637683,,
1,599,0.1684604386481649,,
1,645,,0.16294345569778626,
1,645,,,0.1730371307829081
2,649,0.17029716007939694,,
2,699,0.16324595646743648,,
2,749,0.15225825066461438,,
2,799,0.16219238884415668,,
2,849,0.15587953796460852,,
2,899,0.16016853272849277,,
2,949,0.15927955685176204,,
2,968,,0.15393871309388257,
2,968,,,0.16060012668183543
3,999,0.15281168347066415,,
3,1049,0.14345854307924177,,
3,1099,0.15842349498418823,,
3,1149,0.14802091783371274,,
3,1199,0.15110097901718847,,
3,1249,0.1503787229504433,,
3,1291,,0.1498053516863291,
3,1291,,,0.15398850546889356
4,1299,0.15687685094982207,,
4,1349,0.15260617790460174,,
4,1399,0.14966423309558585,,
4,1449,0.14334554463051238,,
4,1499,0.1449589257165466,,
4,1549,0.15866717104055775,,
4,1599,0.15457331554161946,,
4,1614,,0.1458599173433556,
4,1614,,,0.14986451295891237
5,1649,0.15121041502327318,,
5,1699,0.13101607885358627,,
5,1749,0.13754531670652959,,
5,1799,0.1435995298026569,,
5,1849,0.13897364699561857,,
5,1899,0.1514090412778633,,
5,1937,,0.14358464031572576,
5,1937,,,0.14703944891434256
6,1949,0.12770053656841657,,
6,1999,0.14874243956673025,,
6,2049,0.14107746902171905,,
6,2099,0.14139531004186837,,
6,2149,0.14501431190433006,,
6,2199,0.1538287499833315,,
6,2249,0.14350995265378527,,
6,2260,,0.14212480672932495,
6,2260,,,0.14456907228603227
7,2299,0.1393235735285777,,
7,2349,0.14264726679348724,,
7,2399,0.1443391098217843,,
7,2449,0.14037919490134557,,
7,2499,0.13981412170787877,,
7,2549,0.14360379139263557,,
7,2583,,0.14006415630423583,
7,2583,,,0.14259929108338615
8,2599,0.14512350120305623,,
8,2649,0.15133324054258107,,
8,2699,0.13849469697133385,,
8,2749,0.13756773435394207,,
8,2799,0.14334474319805837,,
8,2849,0.1444593047977302,,
8,2899,0.14359679741665507,,
