val_loss,epoch,step,loss_epoch,loss_step
915.2761840820312,0,23,,
,0,23,1030.9644775390625,
917.3336791992188,1,47,,
,1,47,944.4509887695312,
,2,49,,949.5897827148438
888.5820922851562,2,71,,
,2,71,923.5161743164062,
881.0497436523438,3,95,,
,3,95,899.5643920898438,
,4,99,,902.9202270507812
861.8086547851562,4,119,,
,4,119,877.0341796875,
861.6234130859375,5,143,,
,5,143,862.1798095703125,
,6,149,,820.2742919921875
860.6010131835938,6,167,,
,6,167,857.5394287109375,
826.308349609375,7,191,,
,7,191,840.4286499023438,
,8,199,,874.7715454101562
839.972412109375,8,215,,
,8,215,836.461181640625,
819.0008544921875,9,239,,
,9,239,827.327392578125,
,10,249,,838.62841796875
822.1063232421875,10,263,,
,10,263,815.2648315429688,
806.486328125,11,287,,
,11,287,804.7561645507812,
,12,299,,790.04931640625
801.4603271484375,12,311,,
,12,311,786.2514038085938,
811.9619140625,13,335,,
,13,335,793.2757568359375,
,14,349,,851.291015625
826.7954711914062,14,359,,
,14,359,798.04638671875,
802.0105590820312,15,383,,
,15,383,796.1986694335938,
,16,399,,799.9616088867188
798.591064453125,16,407,,
,16,407,780.62451171875,
803.8763427734375,17,431,,
,17,431,777.8558349609375,
,18,449,,739.6115112304688
809.5784912109375,18,455,,
,18,455,768.0045776367188,
790.3314208984375,19,479,,
,19,479,752.84375,
,20,499,,787.901123046875
782.3907470703125,20,503,,
,20,503,758.5625,
774.635009765625,21,527,,
,21,527,763.7271118164062,
,22,549,,738.8154907226562
772.7514038085938,22,551,,
,22,551,755.0115966796875,
775.291748046875,23,575,,
,23,575,753.0164794921875,
,24,599,,366.9079284667969
784.5770874023438,24,599,,
,24,599,753.1571044921875,
767.0960083007812,25,623,,
,25,623,744.2607421875,
778.3748168945312,26,647,,
,26,647,731.8218383789062,
,27,649,,770.9146728515625
782.1008911132812,27,671,,
,27,671,743.5843505859375,
784.10009765625,28,695,,
,28,695,729.988525390625,
,29,699,,777.7693481445312
779.0834350585938,29,719,,
,29,719,734.0286865234375,
775.5223999023438,30,743,,
,30,743,731.072021484375,
,31,749,,725.6090087890625
754.3671875,31,767,,
,31,767,720.3362426757812,
771.0216064453125,32,791,,
,32,791,729.6077270507812,
,33,799,,735.6696166992188
772.8685302734375,33,815,,
,33,815,715.9664306640625,
756.8845825195312,34,839,,
,34,839,725.9873046875,
,35,849,,714.8025512695312
768.174560546875,35,863,,
,35,863,720.3490600585938,
768.3035888671875,36,887,,
,36,887,708.0572509765625,
,37,899,,722.85302734375
766.8515625,37,911,,
,37,911,711.2029418945312,
761.5025634765625,38,935,,
,38,935,719.3421020507812,
,39,949,,720.064453125
762.20556640625,39,959,,
,39,959,705.7938232421875,
767.0778198242188,40,983,,
,40,983,714.7113037109375,
,41,999,,716.8788452148438
763.7931518554688,41,1007,,
,41,1007,706.7069091796875,
765.2513427734375,42,1031,,
,42,1031,712.7147216796875,
,43,1049,,683.8239135742188
759.9910278320312,43,1055,,
,43,1055,704.9788208007812,
758.88525390625,44,1079,,
,44,1079,706.2931518554688,
,45,1099,,694.367919921875
761.44091796875,45,1103,,
,45,1103,703.0745849609375,
765.6597290039062,46,1127,,
,46,1127,696.0921020507812,
,47,1149,,661.2896728515625
757.4512329101562,47,1151,,
,47,1151,689.0663452148438,
760.5126953125,48,1175,,
,48,1175,688.5507202148438,
,49,1199,,316.6476135253906
761.5075073242188,49,1199,,
,49,1199,696.5142822265625,
760.951416015625,50,1223,,
,50,1223,693.8607788085938,
744.4087524414062,51,1247,,
,51,1247,683.242431640625,
,52,1249,,649.1973876953125
749.8339233398438,52,1271,,
,52,1271,683.9452514648438,
752.0228271484375,53,1295,,
,53,1295,679.4464721679688,
,54,1299,,668.8128051757812
741.45458984375,54,1319,,
,54,1319,663.962646484375,
738.93408203125,55,1343,,
,55,1343,678.3132934570312,
,56,1349,,677.8504638671875
737.7088623046875,56,1367,,
,56,1367,688.7318115234375,
745.3392333984375,57,1391,,
,57,1391,675.4494018554688,
,58,1399,,700.8587036132812
755.9010009765625,58,1415,,
,58,1415,667.409423828125,
749.4479370117188,59,1439,,
,59,1439,672.0389404296875,
,60,1449,,682.9802856445312
758.7274169921875,60,1463,,
,60,1463,679.1825561523438,
745.899658203125,61,1487,,
,61,1487,669.01513671875,
,62,1499,,649.989990234375
755.5479125976562,62,1511,,
,62,1511,672.0458984375,
769.68505859375,63,1535,,
,63,1535,671.410400390625,
,64,1549,,652.915771484375
745.045166015625,64,1559,,
,64,1559,686.0393676757812,
749.0579833984375,65,1583,,
,65,1583,666.6326904296875,
,66,1599,,665.598388671875
748.5540161132812,66,1607,,
,66,1607,673.7279052734375,
749.5020751953125,67,1631,,
,67,1631,657.2979125976562,
,68,1649,,655.7273559570312
747.417724609375,68,1655,,
,68,1655,663.1200561523438,
741.0825805664062,69,1679,,
,69,1679,673.8180541992188,
,70,1699,,699.7013549804688
751.2808227539062,70,1703,,
,70,1703,665.3082275390625,
743.2822265625,71,1727,,
,71,1727,667.4839477539062,
,72,1749,,592.8130493164062
738.5641479492188,72,1751,,
,72,1751,644.2465209960938,
748.7589111328125,73,1775,,
,73,1775,659.179443359375,
,74,1799,,277.746337890625
747.6665649414062,74,1799,,
,74,1799,652.7691040039062,
735.7531127929688,75,1823,,
,75,1823,657.4649047851562,
742.14892578125,76,1847,,
,76,1847,646.9586791992188,
,77,1849,,680.253662109375
727.0678100585938,77,1871,,
,77,1871,648.707275390625,
736.583740234375,78,1895,,
,78,1895,658.3621826171875,
