step,val_loss,epoch,loss_epoch,loss_step
23,933.1610717773438,0,,
23,,0,1026.6656494140625,
47,916.2080688476562,1,,
47,,1,945.7841796875,
49,,2,,966.880859375
71,902.2568359375,2,,
71,,2,929.0157470703125,
95,877.75732421875,3,,
95,,3,898.4638061523438,
99,,4,,921.7540283203125
119,872.2913208007812,4,,
119,,4,880.3841552734375,
143,861.445068359375,5,,
143,,5,862.6797485351562,
149,,6,,883.0831909179688
167,845.5880126953125,6,,
167,,6,852.697509765625,
191,842.1148071289062,7,,
191,,7,832.2554321289062,
199,,8,,809.9503784179688
215,841.4428100585938,8,,
215,,8,815.7308959960938,
239,830.5720825195312,9,,
239,,9,800.4449462890625,
249,,10,,836.934326171875
263,828.1720581054688,10,,
263,,10,795.3788452148438,
287,821.0702514648438,11,,
287,,11,781.1795654296875,
299,,12,,764.5623779296875
311,824.049072265625,12,,
311,,12,778.5490112304688,
335,832.7954711914062,13,,
335,,13,774.1471557617188,
349,,14,,761.2262573242188
359,832.5070190429688,14,,
359,,14,769.302001953125,
383,830.8245849609375,15,,
383,,15,765.4358520507812,
399,,16,,692.1943969726562
407,829.5466918945312,16,,
407,,16,751.4352416992188,
431,821.3352661132812,17,,
431,,17,744.25341796875,
449,,18,,768.7618408203125
455,828.6448364257812,18,,
455,,18,740.3716430664062,
479,816.5276489257812,19,,
479,,19,745.4111938476562,
499,,20,,696.7846069335938
503,812.2079467773438,20,,
503,,20,738.1624145507812,
527,833.8280029296875,21,,
527,,21,730.0780639648438,
549,,22,,758.9165649414062
551,849.674560546875,22,,
551,,22,745.926025390625,
575,834.6651611328125,23,,
575,,23,748.450439453125,
599,,24,,299.19073486328125
599,824.1580200195312,24,,
599,,24,722.9352416992188,
623,824.0222778320312,25,,
623,,25,715.8309936523438,
647,822.8499145507812,26,,
647,,26,710.9030151367188,
649,,27,,706.0296630859375
671,823.34130859375,27,,
671,,27,706.1290893554688,
695,835.9259033203125,28,,
695,,28,701.73974609375,
699,,29,,725.0153198242188
719,829.3925170898438,29,,
719,,29,695.0404663085938,
743,834.1563110351562,30,,
743,,30,694.26318359375,
749,,31,,705.9694213867188
767,814.8630981445312,31,,
767,,31,700.7425537109375,
791,827.0036010742188,32,,
791,,32,700.3418579101562,
799,,33,,686.6785278320312
815,836.5333251953125,33,,
815,,33,701.87158203125,
839,841.3402709960938,34,,
839,,34,700.1221923828125,
849,,35,,744.8663330078125
863,848.3565063476562,35,,
863,,35,691.3976440429688,
887,832.5684814453125,36,,
887,,36,699.5650024414062,
899,,37,,682.1429443359375
911,826.0369873046875,37,,
911,,37,680.6036376953125,
935,834.8486938476562,38,,
935,,38,681.426025390625,
949,,39,,682.3467407226562
959,845.5430297851562,39,,
959,,39,672.7904052734375,
983,829.1421508789062,40,,
983,,40,666.454345703125,
999,,41,,611.2199096679688
1007,817.6336669921875,41,,
1007,,41,675.478271484375,
1031,828.6307373046875,42,,
1031,,42,672.972900390625,
1049,,43,,672.6541748046875
1055,826.8353271484375,43,,
1055,,43,675.0392456054688,
1079,851.0139770507812,44,,
1079,,44,663.0429077148438,
1099,,45,,649.151123046875
1103,841.87255859375,45,,
1103,,45,666.289306640625,
1127,826.5018920898438,46,,
1127,,46,676.2067260742188,
1149,,47,,684.7286987304688
1151,816.1961059570312,47,,
1151,,47,660.4173583984375,
1175,819.1185913085938,48,,
1175,,48,641.5160522460938,
1199,,49,,256.0294189453125
1199,822.4386596679688,49,,
1199,,49,639.970458984375,
1223,822.30908203125,50,,
1223,,50,634.7882080078125,
1247,824.063232421875,51,,
1247,,51,636.2431030273438,
1249,,52,,635.6275024414062
1271,823.1181640625,52,,
1271,,52,628.0696411132812,
1295,824.1065063476562,53,,
1295,,53,629.68212890625,
1299,,54,,655.2713012695312
1319,826.1875,54,,
1319,,54,626.2568359375,
1343,826.722412109375,55,,
1343,,55,622.97802734375,
1349,,56,,629.7738037109375
1367,824.2330932617188,56,,
1367,,56,623.758544921875,
1391,819.5009155273438,57,,
1391,,57,625.135009765625,
1399,,58,,614.7223510742188
1415,826.56005859375,58,,
1415,,58,620.5776977539062,
1439,819.357177734375,59,,
1439,,59,616.1599731445312,
1449,,60,,674.7125854492188
1463,825.4434814453125,60,,
1463,,60,618.2823486328125,
1487,828.5713500976562,61,,
1487,,61,615.6563720703125,
1499,,62,,618.1536254882812
1511,824.1549072265625,62,,
1511,,62,615.7203979492188,
1535,825.9746704101562,63,,
1535,,63,615.1896362304688,
1549,,64,,609.5604248046875
1559,830.65283203125,64,,
1559,,64,610.4343872070312,
1583,827.0851440429688,65,,
1583,,65,615.3265991210938,
1599,,66,,537.9053344726562
1607,829.21826171875,66,,
1607,,66,613.1000366210938,
1631,828.5759887695312,67,,
1631,,67,613.4107666015625,
1649,,68,,604.1500854492188
1655,827.704833984375,68,,
1655,,68,608.4457397460938,
1679,828.3898315429688,69,,
1679,,69,611.7984619140625,
1699,,70,,608.7085571289062
1703,835.5062255859375,70,,
1703,,70,612.9303588867188,
1727,831.7760009765625,71,,
1727,,71,610.9992065429688,
1749,,72,,665.7589721679688
1751,827.2318115234375,72,,
1751,,72,607.0313110351562,
1775,831.58984375,73,,
1775,,73,608.3433227539062,
1799,,74,,239.2224884033203
1799,828.35693359375,74,,
1799,,74,605.72412109375,
1823,833.353515625,75,,
1823,,75,605.3047485351562,
1847,837.1695556640625,76,,
1847,,76,607.00244140625,
1849,,77,,642.9998168945312
1871,833.3453979492188,77,,
1871,,77,605.80517578125,
1895,828.5944213867188,78,,
1895,,78,610.0057373046875,
1899,,79,,635.8109741210938
1919,832.0153198242188,79,,
1919,,79,606.7666015625,
1943,836.1546630859375,80,,
1943,,80,602.6965942382812,
1949,,81,,621.1828002929688
1967,833.6870727539062,81,,
1967,,81,605.0010375976562,
1991,829.8221435546875,82,,
1991,,82,603.5885620117188,
1999,,83,,591.1810913085938
2015,833.8424072265625,83,,
2015,,83,608.0322265625,
2039,832.763916015625,84,,
2039,,84,608.9862060546875,
2049,,85,,653.9691772460938
2063,826.067138671875,85,,
2063,,85,608.9024047851562,
2087,827.9817504882812,86,,
2087,,86,605.4968872070312,
2099,,87,,618.3341064453125
2111,832.503662109375,87,,
2111,,87,606.8130493164062,
2135,833.6389770507812,88,,
2135,,88,605.4915771484375,
2149,,89,,607.0718994140625
2159,828.1461791992188,89,,
2159,,89,609.2188110351562,
2183,836.6464233398438,90,,
2183,,90,603.7880249023438,
2199,,91,,535.8721923828125
2207,829.8596801757812,91,,
2207,,91,602.4149780273438,
2231,831.9002685546875,92,,
2231,,92,607.9541015625,
2249,,93,,624.305908203125
2255,831.4216918945312,93,,
2255,,93,605.2634887695312,
2279,831.1968994140625,94,,
2279,,94,603.72021484375,
2299,,95,,581.5198364257812
2303,831.4652709960938,95,,
2303,,95,601.03173828125,
2327,830.2622680664062,96,,
2327,,96,603.4041137695312,
2349,,97,,651.4141235351562
2351,832.3553466796875,97,,
2351,,97,605.4939575195312,
2375,831.2193603515625,98,,
2375,,98,605.345947265625,
2399,,99,,251.26715087890625
2399,832.5635986328125,99,,
2399,,99,603.9781494140625,
2423,831.8512573242188,100,,
2423,,100,603.8196411132812,
2447,832.094482421875,101,,
2447,,101,606.9879150390625,
2449,,102,,614.4534912109375
2471,828.8636474609375,102,,
2471,,102,602.5982666015625,
2495,838.5795288085938,103,,
2495,,103,603.4015502929688,
2499,,104,,621.9989013671875
2519,832.3590698242188,104,,
2519,,104,602.8280639648438,
2543,833.3414306640625,105,,
2543,,105,608.5082397460938,
2549,,106,,627.869384765625
2567,829.537109375,106,,
2567,,106,607.1196899414062,
2591,831.7605590820312,107,,
2591,,107,600.1759033203125,
2599,,108,,588.29052734375
2615,834.1564331054688,108,,
2615,,108,603.7613525390625,
2639,832.3026733398438,109,,
2639,,109,602.535888671875,
2649,,110,,653.10986328125
2663,836.2658081054688,110,,
2663,,110,609.26318359375,
2687,833.3773193359375,111,,
2687,,111,604.7908935546875,
2699,,112,,624.184814453125
2711,833.0820922851562,112,,
2711,,112,607.1638793945312,
2735,828.1429443359375,113,,
2735,,113,602.9014892578125,
2749,,114,,610.5640869140625
2759,830.5994873046875,114,,
2759,,114,604.6663208007812,
2783,830.24658203125,115,,
2783,,115,604.94921875,
