step,val_loss,epoch,loss_epoch,loss_step
2799,,116,,567.2050170898438
2807,835.9324951171875,116,,
2807,,116,608.54248046875,
2831,834.5573120117188,117,,
2831,,117,599.985107421875,
2849,,118,,611.4488525390625
2855,834.457275390625,118,,
2855,,118,603.4810180664062,
2879,830.7135009765625,119,,
2879,,119,606.914306640625,
2899,,120,,594.3634033203125
2903,836.8883056640625,120,,
2903,,120,599.9263916015625,
2927,832.2313232421875,121,,
2927,,121,604.6074829101562,
2949,,122,,649.8296508789062
2951,834.9876098632812,122,,
2951,,122,606.1694946289062,
2975,831.1532592773438,123,,
2975,,123,605.0830688476562,
2999,,124,,244.77720642089844
2999,832.03125,124,,
2999,,124,605.52197265625,
3023,830.1243896484375,125,,
3023,,125,600.200927734375,
3047,830.5692749023438,126,,
3047,,126,600.9961547851562,
3049,,127,,609.810546875
3071,831.4566040039062,127,,
3071,,127,600.7711181640625,
3095,830.4841918945312,128,,
3095,,128,607.2427368164062,
3099,,129,,641.1666870117188
3119,829.736572265625,129,,
3119,,129,609.5115966796875,
3143,833.3434448242188,130,,
3143,,130,606.4375,
3149,,131,,619.4973754882812
3167,838.6568603515625,131,,
3167,,131,606.16015625,
3191,832.3125610351562,132,,
3191,,132,607.809814453125,
3199,,133,,592.5386352539062
3215,828.04052734375,133,,
3215,,133,603.3425903320312,
3239,831.2237548828125,134,,
3239,,134,602.9658203125,
3249,,135,,665.506103515625
3263,837.2050170898438,135,,
3263,,135,608.4840698242188,
3287,830.2139892578125,136,,
3287,,136,602.7301635742188,
3299,,137,,609.0671997070312
3311,832.4754028320312,137,,
3311,,137,607.7711181640625,
3335,829.8369750976562,138,,
3335,,138,602.125,
3349,,139,,616.4594116210938
3359,835.1345825195312,139,,
3359,,139,603.3687133789062,
3383,832.7923583984375,140,,
3383,,140,601.8804321289062,
3399,,141,,543.3287353515625
3407,836.447998046875,141,,
3407,,141,600.22509765625,
3431,831.5390014648438,142,,
3431,,142,602.4099731445312,
3449,,143,,614.1136474609375
3455,833.9185791015625,143,,
3455,,143,602.3328857421875,
3479,826.5606689453125,144,,
3479,,144,604.3777465820312,
3499,,145,,572.1572265625
3503,833.2020874023438,145,,
3503,,145,602.0914916992188,
3527,833.9048461914062,146,,
3527,,146,601.8253173828125,
3549,,147,,657.42236328125
3551,831.72216796875,147,,
3551,,147,602.2206420898438,
3575,830.69873046875,148,,
3575,,148,605.6805419921875,
3599,,149,,244.87261962890625
3599,830.9003295898438,149,,
3599,,149,604.474853515625,
3623,836.0496826171875,150,,
3623,,150,603.0385131835938,
3647,832.66259765625,151,,
3647,,151,600.4480590820312,
3649,,152,,613.1071166992188
3671,832.5188598632812,152,,
3671,,152,603.2927856445312,
3695,829.5445556640625,153,,
3695,,153,603.2782592773438,
3699,,154,,633.916259765625
3719,833.6264038085938,154,,
3719,,154,607.5475463867188,
3743,829.2793579101562,155,,
3743,,155,606.7267456054688,
3749,,156,,636.2025756835938
3767,837.469970703125,156,,
3767,,156,604.7286376953125,
3791,830.8178100585938,157,,
3791,,157,602.333740234375,
3799,,158,,596.3058471679688
3815,828.1435546875,158,,
3815,,158,604.3966064453125,
3839,834.7308349609375,159,,
3839,,159,605.587158203125,
3849,,160,,641.976318359375
3863,833.4583129882812,160,,
3863,,160,600.5844116210938,
3887,832.5770874023438,161,,
3887,,161,601.865234375,
3899,,162,,607.6246337890625
3911,831.8973999023438,162,,
3911,,162,604.3408203125,
3935,835.6633911132812,163,,
3935,,163,607.83740234375,
3949,,164,,590.7185668945312
3959,833.5684204101562,164,,
3959,,164,599.69189453125,
3983,831.4944458007812,165,,
3983,,165,604.0347290039062,
3999,,166,,530.30322265625
4007,832.9808349609375,166,,
4007,,166,603.6103515625,
4031,828.7296752929688,167,,
4031,,167,604.5584106445312,
4049,,168,,602.3174438476562
4055,834.3994750976562,168,,
4055,,168,602.6500244140625,
4079,830.4708862304688,169,,
4079,,169,602.9398803710938,
4099,,170,,571.0723266601562
4103,832.8003540039062,170,,
4103,,170,607.5037231445312,
4127,831.1455078125,171,,
4127,,171,605.8596801757812,
4149,,172,,633.3299560546875
4151,827.9256591796875,172,,
4151,,172,602.7057495117188,
4175,833.927490234375,173,,
4175,,173,604.4957275390625,
4199,,174,,233.0397186279297
4199,833.1505126953125,174,,
4199,,174,604.7081909179688,
4223,830.2313232421875,175,,
4223,,175,609.6674194335938,
