epoch,loss_step,step,val_loss,loss_epoch
0,0.2026754548902924,49,,
0,0.1908726618918182,99,,
0,0.18013200256665288,149,,
0,0.19164711697003944,199,,
0,0.1787098330987141,249,,
0,0.176962293935541,299,,
0,,322,0.1766671298155617,
0,,322,,0.19718044077347946
1,0.1745073518351824,349,,
1,0.1843083925993672,399,,
1,0.17315138781800163,449,,
1,0.16342615599275706,499,,
1,0.17309410083637683,549,,
1,0.1684604386481649,599,,
1,,645,0.16294345569778626,
1,,645,,0.1730371307829081
2,0.17029716007939694,649,,
2,0.16324595646743648,699,,
2,0.15225825066461438,749,,
2,0.16219238884415668,799,,
2,0.15587953796460852,849,,
2,0.16016853272849277,899,,
2,0.15927955685176204,949,,
2,,968,0.15393871309388257,
2,,968,,0.16060012668183543
3,0.15281168347066415,999,,
3,0.14345854307924177,1049,,
3,0.15842349498418823,1099,,
3,0.14802091783371274,1149,,
3,0.15110097901718847,1199,,
3,0.1503787229504433,1249,,
3,,1291,0.1498053516863291,
3,,1291,,0.15398850546889356
4,0.15687685094982207,1299,,
4,0.15260617790460174,1349,,
4,0.14966423309558585,1399,,
4,0.14334554463051238,1449,,
4,0.1449589257165466,1499,,
4,0.15866717104055775,1549,,
4,0.15457331554161946,1599,,
4,,1614,0.1458599173433556,
4,,1614,,0.14986451295891237
5,0.15121041502327318,1649,,
5,0.13101607885358627,1699,,
5,0.13754531670652959,1749,,
5,0.1435995298026569,1799,,
5,0.13897364699561857,1849,,
5,0.1514090412778633,1899,,
5,,1937,0.14358464031572576,
5,,1937,,0.14703944891434256
6,0.12770053656841657,1949,,
6,0.14874243956673025,1999,,
6,0.14107746902171905,2049,,
6,0.14139531004186837,2099,,
6,0.14501431190433006,2149,,
6,0.1538287499833315,2199,,
6,0.14350995265378527,2249,,
6,,2260,0.14212480672932495,
6,,2260,,0.14456907228603227
7,0.1393235735285777,2299,,
7,0.14264726679348724,2349,,
7,0.1443391098217843,2399,,
7,0.14037919490134557,2449,,
7,0.13981412170787877,2499,,
7,0.14360379139263557,2549,,
7,,2583,0.14006415630423583,
7,,2583,,0.14259929108338615
8,0.14512350120305623,2599,,
8,0.15133324054258107,2649,,
8,0.13849469697133385,2699,,
8,0.13756773435394207,2749,,
8,0.14334474319805837,2799,,
8,0.1444593047977302,2849,,
8,0.14359679741665507,2899,,
8,,2906,0.13932316061394492,
8,,2906,,0.14085314341402513
9,0.12863473858970229,2949,,
9,0.1351097926531225,2999,,
9,0.12926932339749914,3049,,
9,0.14129054293718507,3099,,
9,0.13499080654050744,3149,,
9,0.13843403841507712,3199,,
9,,3229,0.13791866135824132,
9,,3229,,0.13958959317539263
10,0.14528574222051321,3249,,
10,0.13799689873279616,3299,,
10,0.14715932106919005,3349,,
10,0.1368736841634958,3399,,
10,0.13199114517723842,3449,,
10,0.14381633174229058,3499,,
10,0.14650732040744546,3549,,
10,,3552,0.13668124172111476,
